iter	Passed	Remaining
0	4	441
1	8	404
2	11	379
3	15	362
4	19	375
5	23	367
6	26	350
7	29	340
8	32	326
9	34	314
10	37	302
11	52	387
12	55	369
13	57	354
14	59	337
15	62	326
16	64	317
17	67	306
18	68	292
19	70	281
20	71	270
21	73	259
22	75	251
23	76	243
24	78	234
25	79	225
26	80	216
27	81	209
28	82	201
29	83	194
30	84	187
31	85	181
32	86	175
33	87	169
34	88	163
35	89	158
36	90	153
37	91	148
38	92	144
39	93	139
40	94	135
41	94	130
42	95	127
43	96	123
44	98	119
45	99	116
46	100	112
47	101	109
48	102	106
49	103	103
50	104	100
51	105	97
52	106	94
53	108	92
54	108	88
55	109	86
56	110	83
57	111	80
58	112	78
59	113	75
60	114	73
61	115	70
62	116	68
63	117	66
64	118	63
65	119	61
66	120	59
67	121	57
68	122	55
69	123	53
70	124	50
71	125	48
72	126	46
73	127	44
74	128	42
75	129	40
76	130	38
77	131	37
78	132	35
79	133	33
80	134	31
81	135	29
82	136	27
83	137	26
84	138	24
85	139	22
86	140	20
87	141	19
88	142	17
89	143	15
90	144	14
91	145	12
92	146	10
93	146	9
94	147	7
95	149	6
96	149	4
97	150	3
98	151	1
99	152	0
