iter	Passed	Remaining
0	1	1355
1	2	1182
2	3	1096
3	4	1060
4	5	1051
5	8	1353
6	9	1358
7	10	1347
8	12	1329
9	13	1291
10	14	1300
11	15	1287
12	16	1263
13	17	1240
14	18	1221
15	19	1205
16	22	1279
17	24	1313
18	25	1305
19	26	1315
20	27	1299
21	28	1284
22	29	1268
23	30	1254
24	32	1260
25	33	1249
26	34	1235
27	36	1276
28	38	1284
29	39	1278
30	42	1317
31	43	1306
32	44	1295
33	45	1283
34	46	1272
35	47	1261
36	48	1255
37	49	1251
38	52	1292
39	53	1290
40	55	1292
41	56	1285
42	57	1278
43	58	1279
44	59	1272
45	61	1265
46	62	1260
47	63	1256
48	64	1256
49	68	1293
50	69	1291
51	70	1288
52	72	1290
53	73	1283
54	74	1276
55	75	1269
56	76	1268
57	77	1261
58	78	1253
59	81	1271
60	82	1275
61	84	1273
62	85	1278
63	87	1272
64	87	1265
65	88	1258
66	89	1251
67	90	1246
68	91	1240
69	92	1234
70	93	1229
71	96	1243
72	97	1241
73	99	1243
74	100	1238
75	101	1232
76	102	1231
77	103	1228
78	104	1223
79	105	1218
80	106	1212
81	107	1207
82	109	1213
83	111	1220
84	113	1222
85	114	1219
86	115	1214
87	116	1209
88	117	1204
89	119	1203
90	120	1201
91	121	1196
92	122	1192
93	126	1214
94	127	1214
95	129	1217
96	130	1212
97	131	1208
98	132	1203
99	133	1198
100	134	1194
101	135	1192
102	136	1189
103	137	1188
104	140	1194
105	141	1191
106	142	1190
107	144	1192
108	145	1188
109	146	1184
110	147	1180
111	148	1176
112	149	1172
113	150	1168
114	151	1164
115	153	1172
116	155	1172
117	156	1172
118	157	1169
119	159	1168
120	160	1167
121	161	1163
122	162	1160
123	163	1156
124	164	1153
125	165	1149
126	166	1144
127	168	1150
128	170	1154
129	172	1156
130	173	1153
131	174	1149
132	175	1146
133	176	1142
134	177	1139
135	179	1138
136	180	1135
137	181	1132
138	183	1137
139	185	1138
140	186	1136
141	188	1137
142	189	1134
143	190	1131
144	191	1128
145	192	1125
146	193	1122
147	194	1118
148	195	1115
149	196	1114
150	198	1118
151	200	1116
152	201	1116
153	202	1113
154	203	1110
155	205	1109
156	206	1107
157	207	1103
158	208	1100
159	209	1097
160	209	1092
161	210	1089
162	212	1091
163	214	1094
164	215	1092
165	217	1093
166	218	1090
167	219	1087
168	220	1085
169	221	1083
170	223	1081
171	224	1078
172	225	1076
173	227	1079
174	229	1080
175	230	1079
176	232	1079
177	233	1076
178	234	1074
179	235	1071
180	236	1068
181	237	1065
182	238	1062
183	239	1060
184	240	1058
185	242	1062
186	244	1062
187	245	1060
188	246	1059
189	248	1058
190	249	1057
191	250	1054
192	251	1052
193	252	1049
194	253	1047
195	254	1044
196	255	1043
197	259	1049
198	260	1047
199	261	1047
200	263	1045
201	264	1043
202	265	1040
203	266	1039
204	267	1037
205	268	1034
206	269	1031
207	270	1029
208	272	1033
209	274	1033
210	276	1032
211	277	1030
212	278	1027
213	279	1025
214	280	1022
215	280	1019
216	282	1017
217	282	1014
218	283	1012
219	284	1010
220	287	1012
221	288	1011
222	289	1010
223	291	1009
224	292	1006
225	293	1004
226	294	1002
227	295	999
228	296	997
229	297	995
230	298	992
231	299	990
232	301	992
233	302	991
234	304	989
235	305	988
236	306	986
237	307	983
238	308	981
239	309	978
240	310	976
241	311	974
242	311	971
243	312	969
244	313	967
245	316	969
246	317	968
247	319	967
248	320	965
249	321	963
250	322	961
251	323	958
252	323	956
253	324	954
254	325	952
255	326	949
256	327	947
257	328	945
258	331	948
259	332	946
260	334	945
261	335	944
262	336	942
263	337	940
264	338	938
265	339	936
266	340	934
267	341	931
268	342	929
269	343	927
270	345	928
271	347	928
272	348	928
273	351	931
274	353	931
275	354	930
276	356	929
277	357	927
278	358	925
279	359	924
280	361	924
281	362	922
282	363	921
283	364	919
284	365	917
285	366	915
286	367	913
287	368	911
288	369	909
289	370	907
290	371	905
291	372	903
292	373	901
293	375	902
294	377	901
295	378	899
296	379	899
297	380	897
298	381	895
299	382	893
300	383	891
301	384	889
302	385	887
303	386	885
304	387	883
305	390	885
306	391	884
307	392	882
308	393	880
309	394	878
310	395	876
311	396	874
312	397	872
313	398	870
314	399	869
315	400	867
316	401	865
317	402	863
318	404	864
319	405	862
320	406	860
321	407	858
322	408	856
323	409	855
324	410	853
325	411	851
326	412	849
327	413	848
328	415	846
329	416	845
330	417	844
331	419	844
332	420	842
333	421	840
334	422	838
335	423	836
336	424	835
337	425	833
338	426	831
339	427	829
340	428	827
341	429	825
342	430	824
343	431	822
344	432	821
345	433	819
346	434	817
347	435	816
348	436	814
349	437	812
350	438	810
351	439	808
352	440	807
353	441	805
354	442	803
355	443	801
356	444	799
357	445	798
358	446	797
359	448	796
360	449	795
361	450	794
362	451	792
363	452	790
364	453	789
365	454	787
366	455	785
